HNF4	Lekr1
myogenin	Lnx2
PUR1	Camp
ATF	Taf10
HNF4	6230427J02Rik
Elk-1	Uba5
ATF	Taf11
SMAD3	Mir10a
HNF4	Vstm2a
ETS2	Mtss1l
Stat3	Mir1193
HNF4	Vstm2b
NF-Y	Dhcr24
AP-2rep	Asb15
AP-2rep	Asb16
USF	Zzz3
Stat3	Mir1197
PPARG	Slc26a10
ATF2	Anapc10
AP-2rep	Exoc3l
GR	Olfr222
ATF	Lmcd1
HEB	Neurl3
PPARG	Abhd4
HNF4	Krtap1-3
HNF4	Fig4
Stat3	Mir1199
Nkx2-5	Herc3
GABPA	Prim2
HNF4	Krtap1-4
PPARG	Abhd5
SOX5	Cyr61
HNF4	Krtap1-5
HNF4	Rph3a
HNF-4	Upp2
Stra13	Hps3
AML1	Pik3c3
AML1	Sybu
Stat3	R3hcc1
ETS2	B630005N14Rik
Nkx2-5	Wwp1
HNF4	Vstm2l
MEF-2	Edn2
HEB	Dennd5a
Stra13	Hps5
Nkx2-5	Aak1
NF-Y	Ets1
myogenin	Tbl1xr1
E2A	Rtp1
RFX1	Rabl5
E2A	Rtp2
HNF4	Sypl
Esrrb	Ckmt1
E2A	Rtp4
Myc	Stmn4
Esrrb	Ckmt2
HEB	Grpr
AP-2rep	Plxnd1
HNF4	Emx2os
GABPA	Rrn3
myogenin	Rbp3
PREP1	Polg2
Stat3	Tcfcp2l1
SOX5	Atp1b3
myogenin	Rbp4
NRSE	Kcnk12
SOX5	Atp1b4
hbp1	Krt8
HNF4	Cd244
RFX1	Rnf5
MAFA	Rpl3l
COUP	Myl6
SOX5	Ap4e1
myogenin	Fgf1
myogenin	Hsd17b4
AP-2rep	Sft2d1
Pdx1	Nfia
HNF4	Cd247
HNF4	Cd248
EAR2	Mtap7d1
Oct-4(POU5F1)	2610100L16Rik
SOX5	Mir3064
STAT6	C230096C10Rik
AP-2rep	CK137956
AML1	Jagn1
myogenin	Fgf5
HNF4	Ugt2a1
PUR1	Cnp
myogenin	Fgf6
myogenin	Fgf8
AP-2rep	Sftpc
ETS2	Fam115a
HNF4	2310002J15Rik
HNF4	Lsm14b
HNF4	Pgm1
GABPA	Chuk
AP-2rep	Sftpd
PUR1	Aqp11
PREP1	Zfp281
HNF4	Pgm2
myogenin	Higd1c
AP-2rep	Cyp4a29-ps
PUR1	Aqp12
HNF4	Pgm3
Elk-1	Dnajc8
CTCF	Amigo3
HNF4	Pgm5
PUR1	Lta4h
FRA1	Clcn3
HNF4	Phb
AML1	Brf2
USF	Polr3d
NRF-1	Ppm1d
HNF4	Leprot
USF	Ybey
ATF	Atf3
ETS2	Acbd3
HNF4	Dlc1
HNF4	Phf20
Nobox	Wdfy2
ETS2	Acbd5
NUR77	Anpep
NRF-1	Pde7a
HNF4	Phf23
AP-2rep	Vnn3
MAFA	Trpc2
GLI2	Hmcn1
HNF4	Cxadr
Mycn	E530011L22Rik
ETS2	Mvk
NF-Y	Pcdh8
Nkx2-5	Ehd1
NF-Y	Pcdh9
NRSF	Gm6537
PUR1	Tmem52
HNF4	Gnal
CLOCK:BMAL	Tcf4
ATF	Tiprl
Nkx2-5	Htt
AP-2rep	Inpp1
ETS2	Mvp
HNF4	Ptgfr
Nkx2-5	Ablim3
PPARG	Akap1
SF1	Fbxo18
CLOCK:BMAL	Iqgap2
HNF4	Gnaq
PPARG	Fem1c
SOX5	Olfr820
PPARG	Akap3
SOX5	Olfr821
SOX5	Olfr822
HNF4	Gnas
GABP	Ercc3
PPARG	Akap6
SOX5	Olfr823
HNF4	Ctnnd1
HNF4	Ctnnd2
NF-Y	Hist1h1a
SOX5	Olfr824
PPARG	Lrrn4cl
PPARG	Akap8
NF-Y	Hist1h1b
SOX5	Olfr825
MAFA	Eif5a2
myogenin	Kcns1
AML1	Zdhhc5
myogenin	Kcns2
HNF4	Srek1
NF-Y	Hist1h1c
SOX5	Olfr826
NF-Y	Hist1h1d
SOX5	Olfr827
AML1	Zdhhc8
NF-Y	Hist1h1e
PPARG	BC100451
Stat3	Zfp750
SOX5	Olfr828
PPARG	2810006K23Rik
HNF4	Gnaz
SOX5	Olfr829
AML1	Pik3cd
NRSF	Chrm4
NF-Y	Prpf40a
HNF4	Clip1
NF-Y	Prpf40b
HNF4	Clip2
HNF4	Laptm4b
HNF4	Clip3
NFAT3	Ctxn2
HNF4	Clip4
PUR1	Arrdc5
OTX	Trim55
hbp1	Mir218-1
HNF4	Fign
AP-2rep	Prdm6
HNF4	Amz1
STAT6	Mir200a
HNF4	Kif21a
HNF4	Amz2
HNF4	Cd24a
Vsx1	Lmx1a
HNF4	Uevld
alpha-CP1	Ppp1r3b
HNF4	Kif21b
AP-2rep	Prdm8
SOX5	C530028O21Rik
AP-2rep	Prdm9
Stat3	Tiam2
NF-Y	Gart
FRA1	F2
Myc	Tdrd1
Stat3	Slc35a5
HNF4	1700011A15Rik
ETS2	1700027A15Rik
E2A	Nosip
PPARG	Dync1i2
alpha-CP1	Ppp1r3f
GR	Tmem81
CREB	Cdc5l
PPARG	Prkra
Nkx2-5	Olfr1195
ICSBP	Il27
Elk-1	Tmem128
OTX	Cpne4
PUR1	Eps8l1
NF-Y	Hist1h1t
HOXB9	Krt36
AML1	Gad1
PUR1	Eps8l2
ETS2	Def6
Ebox	Ihh
myogenin	Rbpj
ETS2	U2af2
myogenin	Retnlb
Stat3	Pomc
MAFA	Kif3c
Myc	Mir19b-1
Lhx5	Baz2b
myogenin	Gm14057
AML1	Olfr1510
PPARG	Tmpo
myogenin	Epha2
HNF4	Sil1
AP-2rep	B830017H08Rik
myogenin	Epha3
AML1	Olfr1511
OCT-x	Elf3
myogenin	Epha4
myogenin	Ddit3
ETS2	Arid5a
GR	Cdc7
CREB	Chmp1b
myogenin	Ddit4
ETS2	Arid5b
SOX5	Snord71
myogenin	Tle2
ETS2	Chrm1
STAT6	Strap
SOX5	Cdk11b
HNF4	Gar1
ETS2	Chrm2
CREB	Onecut1
HNF4	Gnb1
NF-Y	Kif23
HNF4	Gnb2
HNF4	Gnb3
AP-2rep	2610203C22Rik
Stat3	Xpo1
SOX5	1700021F05Rik
AP-2rep	Gpr114
HNF4	Gnb4
SOX5	Pax6os1
AP-2rep	Gpr115
HNF4	Gnb5
HEB	4931431F19Rik
MAFA	Prune2
NRF-1	Hnrpdl
AML1	Cldnd2
ETS2	Mospd1
SF1	Smpx
MyoD	Wnt6
HNF4	Il12rb1
Stat3	Olfr549
Nobox	Olfr523
Stat3	Xpo5
myogenin	Ei24
HNF4	4833418N02Rik
NF-Y	Sim1
ETS2	Aadacl3
AP-2rep	Muc2
AP-2rep	Zeb2
NFAT3	Cacna1c
HNF4	Ets1
HNF4	Ets2
AP-2rep	Kcnq3
TERALPHA	Hcfc1
AP-2rep	Kcnq4
HSF	Nutf2
AML1	Dok1
AP-2rep	Sertad3
AML1	Dok2
AP-2rep	Sertad4
myogenin	Sgk2
PPARG	Sufu
PUR1	S100pbp
ETS2	Mterfd1
AML1	Dok5
HNF4	LOC100503816
ETS2	Mterfd2
ETS2	Mterfd3
SOX5	4930455F23Rik
CTCF	Muc1
AML1	Rbpjl
PPARG	Ak1
ETS2	D430041D05Rik
Nkx2-5	Vmn2r88
E2F-1	H60b
Nkx2-5	Smc4
PPARG	Ak2
PPARG	Ak3
Nkx2-5	Vmn2r89
myogenin	BC031353
SOX5	Cyp24a1
PPARG	Ak4
NF-1	Fgf6
FRA1	Gpr151
NRF-1	Ndufb10
E2A	Rnf220
COUP	9130011E15Rik
myogenin	Pgap3
NRF-1	Ndufb11
COUP	Aamp
HNF4	Hipk1
HNF4	Hipk2
HNF4	Glb1l
PPARG	Madd
AP-2rep	Corin
Lyf-1	Bre
Nrf-2	Tcfec
HNF4	Hipk4
PPARG	E130304I02Rik
myogenin	Mapk1ip1
Lmo2complex	Hmx2
Nkx2-5	Krt6a
myogenin	Tbc1d9b
MAFA	Pacsin1
GABPA	2900002K06Rik
LMAF	Anxa9
isx	2810030E01Rik
SF1	Gbas
Oct-2	Gcnt2
myogenin	5033414D02Rik
HNF4	Edn1
HNF4	Hdac1
MAFA	Pacsin3
ETS2	Pam16
HNF4	Hdac2
Nobox	Snora70
HNF4	Edn2
MAFA	Mdh1b
GLI1	Pdgfra
HNF4	Hdac3
HNF4	Edn3
alpha-CP1	H3f3b
HNF4	Flad1
PPARG	Glp1r
SOX5	Mir3072
HNF4	Hdac5
myogenin	Stim1
SOX5	4932443I19Rik
HNF4	Hdac6
HNF4	Hdac7
SOX5	Mir181a-1
OTX	Cadm2
STAT6	Wapal
HNF4	Hdac8
SOX5	Mir181a-2
HNF4	Hdac9
SOX5	Morn4
NFAT3	Ldoc1l
Stat3	Med12
Stat3	Pon3
ETS2	Fam116b
MAFA	Phyhipl
AP-2rep	Egr2
HNF4	Ugt2b5
AP-2rep	Egr3
SOX5	A930011G23Rik
HNF4	5930412G12Rik
SOX5	Myf6
AP-2rep	Egr4
HNF4	Ptplad1
Lyf-1	Slc13a4
PPARG	Mirlet7a-1
HNF4	Ptplad2
AML1	Gm14124
SOX5	Sema3a
SRF	Nppa
MAFA	Dnahc10
HNF4	Kazald1
Stat3	Vldlr
MyoD	Gadd45g
MAFA	Dnahc11
SOX5	Sema3c
ATF	Atg5
HNF4	Ip6k1
SOX5	Sema3d
TAL1	Hyal2
GABP	2810002D19Rik
HNF4	Ip6k2
SOX5	Sema3e
SF1	Fbxo21
CTCF	Egr1
HNF4	Ip6k3
hbp1	Olfr410
Stat3	Tfam
PPARG	Trmt1
Bach2	En1
GR	Usp2
NFAT3	1500032L24Rik
PPARG	Trmt5
PUR1	Tmem64
HNF4	Cym
PPARG	Fbxo27
AP-2rep	Dbx1
ETS2	Nfatc1
AP-2rep	Dbx2
HNF4	Cwc15
GR	Usp8
SOX5	Olfr830
alpha-CP1	Gpr85
ETS2	Nfatc2
NRF-1	Clk4
Stra13	Slc12a6
E2A	Zmpste24
HNF4	Gars
HNF4	Gart
ETS2	Nfatc4
HNF4	Gm3285
HNF4	Pir
SOX5	Olfr832
FLI1	Fbxw9
Stat3	Cks1b
alpha-CP1	Gpr89
OCT-x	Sall3
SOX5	Olfr835
PPARG	Pvrl1
SOX5	Olfr836
MAFA	Ntm
CLOCK:BMAL	Med13
SOX5	Olfr837
MAFA	Kncn
PPARG	Pcca
EBF1	Vsig8
PPARG	Pvrl4
HNF4	Foxf1a
hbp1	Tnip3
AP-1	Nln
STAT6	G3bp1
HNF4	Atp7a
NFAT3	Zfhx4
AP-2rep	Camkv
NF-E2	Bend6
AML1	Pusl1
COUP-TF	Crabp2
HNF4	Atp7b
ATF	Zfand2b
CTCF	Prmt1
PPARG	Olfr1484
HNF4	Samm50
Stat3	Nedd9
STAT6	BC053749
GR	Ralb
CTCF	Prmt3
PPARG	Olfr1487
NF-Y	Nubp2
CREB	Ywhah
HNF4	Baiap2l1
PPARG	Prkar2a
FLI1	Zkscan5
NRF-1	Fam13b
HNF4	Baiap2l2
PUR1	Pask
AP-2rep	Zhx1
HNF4	Coq10a
CTCF	Ttc9b
T3R	Icam5
ETS2	Ncbp1
ETS2	Ache
HNF4	Coq10b
NF-kappaB	Zfp800
MAF	Nrxn2
ETS2	Ncbp2
HB24	Zic3
ETS2	Tstd1
GR	Cybasc3
Stat3	Lrch3
CREB	Ywhaq
Zic2	Cntnap1
SOX5	Bivm
HNF4	2010320M18Rik
Nkx2-5	Krt79
Stra13	Dvl2
Nkx2-5	Grb14
MAFA	Tmem55a
HNF4	2210018M11Rik
NF-E2	Gapdh
SF1	Mitf
myogenin	Ephb2
PPARG	Tppp3
ETS2	3110040N11Rik
HNF4	Sim1
PPARG	Pacsin1
HNF4	Sim2
AP-2rep	4933405L10Rik
CLOCK:BMAL	Tslp
ATF3	Eef2
GABPA	Sdr42e1
CREB	Chmp2a
Stra13	Calr
Nkx2-5	Crip2
Nkx2-5	Myl1
myogenin	Ephb6
Oct-1	Clstn2
AP-2rep	Bet1
PUR1	Il21
PPARG	Pacsin3
GR	Scube1
GR	Asprv1
GR	Gabarap
Tcfcp2l1	Nek7
Nkx2-5	Cyp26a1
CREB	Ywhaz
Tcfcp2l1	Nek8
RORalpha	Gabrb2
HNF4	Gas2
NF-Y	Sars2
NFAT3	Sall2
SOX5	Snord87
ETS2	6330406I15Rik
ETS2	Mnx1
HNF4	Gas5
HNF4directrepeat1	Esrra
HNF4	Galnt1
c-Myb	Twist1
Oct-1	Stac2
HNF4	Gas6
myogenin	Mir24-1
HNF4	Gas7
HNF4	Galnt2
HNF4	Galnt3
ETS2	2310046O06Rik
ETS2	Cwf19l1
HNF4	Galnt4
HEN1	Nfix
HNF4	Fxyd1
E12	Col4a3
ETS2	Gprc5c
MyoD	Camta2
HNF4	Galnt5
ETS2	Cwf19l2
HNF4	Fxyd2
E12	Col4a4
HNF4	Galnt6
ETS2	Gprc5d
HNF4	Fxyd3
ERR2(ESRRB)	Ak2
HNF4	Galnt7
PPARG	Josd1
AP-2rep	Taf1
HNF4	Fxyd5
HNF4	Fxyd6
PPARG	Josd2
NF-Y	Trpc2
myogenin	Dnm3os
HNF4	Galnt9
HNF4	Fxyd7
COUP	Ccl19
AP-2rep	Taf3
deltaEF1	Slc25a23
HNF4	Lmf1
AP-2rep	Taf5
HNF4	Brca1
GR	Mir194-1
MAFA	Oxr1
SOX5	Hexim2
ATF	Pak3
GR	Ctif
Ets	Cd79a
E2A	Fibp
SOX5	Rabgap1
ATF	Pamr1
COUPdirectrepeat1	Pak4
HNF4	Rpap1
HNF4	Rpap2
HNF4	Fsd1l
HNF4	Mpeg1
HNF4	Rpap3
Arnt	Picalm
MAFA	Sipa1
SOX5	Cdkn2b
SOX5	Dclk1
SOX5	Dclk2
NRF-1	Lsm12
HEB	Ost4
ETS2	Dnajc10
HNF4	Ulbp1
AP-2rep	Pcgf1
SOX5	C1qa
T3R	Rps18
Esrrb	Polr3d
AP-2rep	Pcgf2
AML1	Tspan6
MyoD	Dennd2d
TGIF2	Chrna1
SOX5	C1qb
Ebox	C1qtnf2
NFAT3	6330403A02Rik
NRF-1	Hnrnph1
ETS2	Dnajc14
NRF-1	Gnptab
myogenin	Spata3
AML1	Arpc5
Stat3	Prune
AP-2rep	Pcgf5
NF-kappaB	H2-Ab1
AP-2rep	Fstl1
Nkx2-5	Hspa14
STAT6	Dopey1
AML1	Tspan9
NRF-1	Hnrnph3
ETS2	Dnajc16
Stat3	Upk3a
OTX	Mirlet7f-2
PPARG	Hrh1
ETS2	Dnajc17
RFX1	Mir92b
ETS2	Dnajc18
GR	Cdh12
myogenin	Dcaf5
AP-2rep	Fstl4
PPARG	Cpne4
GABPA	Rrp9
CTCF	1600014C10Rik
myogenin	Tmem181b-ps
ETS2	Dnajc19
NF-Y	Gpr139
SOX5	Mir3085
PPARG	Cpne6
SOX5	Aldh5a1
PPARG	Cpne9
GR	Cdh18
ETS2	Fam117a
HMX1	Rapgef2
PUR1	1700013G24Rik
Stat3	Ddx19b
c-Ets-1	Canx
MAFA	Cmc1
HNF4	Mepe
MAFA	Ppp1ca
AML1	Bex2
FLI1	Det1
ETS2	Chrnd
ipf1	Otp
ETS2	Chrne
ETS2	Astn1
MAFA	9930021D14Rik
SOX5	Dyrk2
ETS2	Astn2
SOX5	Dyrk3
NRF-1	Rbbp4
Stat3	Lmtk3
SOX5	Sema4c
Arnt	Gm16515
ETS2	Tnrc6a
Esrrb	2310028O11Rik
SOX5	Hephl1
ETS2	Tnrc6b
AP-2rep	Mrpl28
SOX5	Slc22a2
YY1	Etv1
ETS2	Tnrc6c
RFX1(EF-C)	Tbc1d19
FLI1	Apeh
NRF-1	Rbbp8
TAL1	Serbp1
Stat3	Rdh11
MYB	Heatr7b2
AML1	Rab28
FRA1	Snord17
SOX5	2810417H13Rik
Nkx2-5	Rnps1
AP-1	Slc4a4
HNF4	Cwc22
MAFA	Cyp2c29
Pou5f1	Cdx1
USF	Tcof1
MAFA	Mtcp1
PUR1	3632451O06Rik
Meis1	1810012P15Rik
OTX	Rnase4
Elk-1	Efcab7
GABPA	Mirlet7b
HNF4	Cwc27
SOX5	Camsap1l1
PUR1	Tmem79
HNF4	Gast
AP-2rep	Tmem38a
HNF4	Riiad1
SOX5	Olfr843
Nobox	9330158H04Rik
ETS2	Mir202
NF-Y	Hist1h3a
PPARG	Alb
ETS2	Mir204
NF-Y	Hist1h3b
SMAD3	Mir134
SOX5	Olfr845
REX1	Zfp618
NF-Y	Aurka
NF-Y	Hist1h3c
AP-2rep	Zswim6
NF-Y	Aurkb
SOX5	Olfr846
HNF4	Sys1
ETS2	Mir205
NF-Y	Hist1h3d
SOX5	Olfr847
HNF4	Mir669g
ETS2	Mir206
NF-Y	Hist1h3e
ETS2	Llgl1
HNF4	Mir669h
HNF4	D19Bwg1357e
NFAT3	2410002O22Rik
AP-2rep	4930417G10Rik
ETS2	Llgl2
HNF4	Mir669i
Stat3	Zfp771
PPARG	Tacc1
Myc	Eef1e1
HNF4	Mir669j
HNF4	Degs1
PPARG	Tacc2
c-Rel	Alg6
PPARG	Tnfrsf1a
NF-Y	Hist1h3h
HNF4	Degs2
HNF4	Mir669k
NRF-1	Nol3
NRF-1	Nol4
PPARG	Maf1
GR	Rap1gap2
T3R	Mir674
HSF	Lrrtm2
NRF-1	Nol7
SOX5	Wars2
AML1	Olfr502
PUR1	Mlf2
NF-Y	Ehf
AML1	Olfr504
Lyf-1	Arpc5l
myogenin	Htr4
AML1	Olfr506
Nkx2-5	Lrriq4
E12	Setd1a
SOX5	Fbxw2
Mycn	Esrra
E2A	Krt75
MEF2A	Gpr30
SOX5	Fbxw4
NF-Y	Syt1
ETS2	Glt25d2
AML1	Olfr509
ETS2	Ncoa1
RFX	Braf
ETS2	Fer1l4
ATF	Fcf1
SOX5	Fbxw7
myogenin	Klk11
USF	Topors
AP-2rep	Gm13305
MAFA	AB056442
myogenin	Klk13
Esrrb	Zdhhc7
AP-2rep	Gm13306
CREB	Bdp1
ETS2	Ncoa7
myogenin	Klk15
AP-2rep	Gm13308
HNF4	Nup107
E2F-1	Man2a1
STAT6	Dlk1
Stat3	Git1
Tal1::Gata1	Cldn15
SOX5	Snord90
RXR:LXR-beta	Mir3103
STAT6	Dlk2
AML1	Atp6v0d1
STAT6	Snora36b
SOX5	Snord92
YY1	Dlg1
PPARG	Tcfcp2
HNF4	9030409G11Rik
PPARG	Mrpl2
ETS2	Dapp1
GABPA	Cggbp1
ETS2	Mocs3
PUR1	Gna14
LMAF	Nfe2l1
HNF4	Fank1
ESE1	Id3
ESE1	Id4
OCT-x	Patz1
Zic2	Il23a
AML1	Acadsb
STAT6	Cdk5rap3
NFAT3	Vmn1r163
SOX5	Snord99
ETS2	2310046A06Rik
myogenin	1300002K09Rik
ETS2	Gprc6a
myogenin	Coro1c
STAT6	Pi4k2a
HNF4	Dnaja1
AP-2rep	Ppfibp2
HNF4	Dnaja2
AP-2rep	Exoc6b
HNF4	Tbxas1
STAT6	Mocos
HNF4	Dnaja3
MAFA	Npcd
AML1	Mettl10
NF-Y	Atp5g1
HNF4	Dnaja4
AML1	Snora52
NF-Y	Atp5g2
SREBP-1	Ccdc45
MATH1	Urod
MyoD	Ffar2
ETS2	Mir20a
HNF4	Gm6484
SF1	Gprin3
OTX	Olfr1100
AML1	Mettl15
deltaEF1	Bag6
USF	Pitx3
GABP	Gps1
OTX	Olfr1102
OTX	Mtmr7
GR	Olfr250
NKX6.1	Upp2
PPARG	Lrit1
myogenin	Fcrla
PPARG	Lrit2
E2F-1	Hnrnpk
AP-2rep	Slc6a20a
OTX	Olfr1105
ETS2	AI661453
HNF-4	Ccdc141
NRF-1	Ndufa5
Meis1	Mir3064
USF	Ddx5
Lyf-1	Hnrnpab
E2F-1	Drd2
c-Rel	Mir129-2
HNF4	Thap2
NFAT3	Olfr202
OTX	Olfr1109
AP-2rep	Spry1
STAT6	BC024479
NRF-1	Ndufa8
HNF4	Mir133a-2
HNF4	Thap3
NRF-1	Ndufa9
HNF4	Thap4
Elk-1	Nup155
PPARG	Csf2
Lyf-1	Btc
c-Rel	Cntfr
HNF4	Ooep
NF-Y	Etv1
PPARG	Csf3
FRA1	Gpr174
HNF4	Thap7
MATH1	Dbh
AP-2rep	Gatsl2
PPARG	Maff
FRA1	Gdnf
PPARG	Gfra3
HNF4	6720401G13Rik
HNF4	Ccpg1
SOX5	Rheb
NF-Y	Etv5
PPARG	Gfra4
PPARG	Tnfrsf25
SOX5	Abr
ETS2	Ormdl3
Nkx2-5	G530011O06Rik
PPARG	4632427E13Rik
GABPA	Smchd1
GR	Wdr63
HNF4	Cd274
AP-1	Tmem200a
HNF-4	Pak4
AP-2rep	Epha4
HNF4	Fam170a
GABPA	Psmd11
AP-2rep	Ddit3
HNF4	AW011738
ETS2	Dnajc25
AP-2rep	Epha5
HNF4	Fam170b
GABPA	Psmd12
AP-2rep	Ddit4
HNF4	Cd276
GR	Cdh20
PPARG	Hey2
myogenin	5430437P03Rik
GABPA	Psmd13
SOX5	Reg3g
SOX5	Mir3092
HNF4	Tgif1
ETS2	Dnajc28
AP-2rep	Epha8
Esrrb	LOC654426
MAFA	Ulk3
SOX5	Mir3094
HNF4	Tgif2
ETS2	Emx1
myogenin	Scn11a
SOX5	Mir3095
HEB	Rab26
ESE1	Atp13a4
OTX	Fam89a
MEF2A	Eno3
SOX5	Myh1
SOX5	Myh2
myogenin	Tsen34
TAL1	Rem1
SOX5	Mir3099
SOX5	Myh4
Stat3	Sept1
PPARG	2410002O22Rik
STAT6	Lpar1
Nkx2-5	Camk1d
SOX5	Myh6
ERR2(ESRRB)	March5
TGIF2	Onecut2
SOX5	Myh7
HNF4	Gatc
SOX5	Myh8
HNF4	Syne1
COUPdirectrepeat1	Scarna10
NRF-1	Mrps18b
Lhx4	Mitf
STAT6	Lpar5
HNF4	8030462N17Rik
AML1	Rab31
ESE1	Cd2ap
SOX5	Sema5b
NRF-1	Mrps18c
MRG2	Cpa3
NFAT3	Fbxo11
ETS2	Snrnp48
USF	Odc1
ATF1	Rap1b
Mycn	Bckdha
MAFA	Bcmo1
myogenin	Atg12
ETS2	Clic1
PPARG	Fbxo40
PUR1	Rad51c
AML1	Rab34
AP-2rep	Mrpl37
SF1	Fbxo41
RFX1	Psmf1
myogenin	Atg13
NF-Y	Ung
PPARG	Fbxo41
hbp1	Olfr430
AP-2rep	Mrpl39
myogenin	Olfm1
ATF2	Becn1
STAT6	LOC100504608
PUR1	Tmem82
TAL1	Onecut2
NRF-1	Tmbim6
AML1	Snora5c
HNF4	Gatm
ERR2(ESRRB)	LOC654426
PPARG	Ccnb1
hbp1	Olfr434
Nobox	Ferd3l
PPARG	Ccnb2
PPARG	Fbxo46
NRF-1	Dtl
HNF4	Ptgir
NRF-1	Hsdl1
ATF	Taf4b
HNF4	D630042F21Rik
NRF-1	Hsdl2
ETS2	Tomm5
ETS2	Tomm6
IRF	Ly86
AML1	Mbtd1
NFAT3	Plp1
HNF4	Mras
Oct-1	Ascl3
HNF4	Casc1
GABPA	Yme1l1
Stra13	Arpc5
AP-2rep	Pgap3
SOX5	Olfr851
PUR1	Tmem89
ETS2	Mir210
MAFA	Mapre2
AP-2rep	Tmem39a
HNF4	Casc3
SMAD3	Mir142
ETS2	Mir212
SOX5	Olfr853
hbp1	Snord45b
HNF4	Casc4
HNF4	Klrb1b
NRF-1	Zmynd10
NF-Y	Dlg1
NF-Y	Hist1h4a
HNF4	Casc5
MAFA	Nphs1as
SOX5	Olfr855
HNF4	Lce1b
Ebox	Ttc13
T3R	Olfr1390
Oct-6	Neurod4
HNF4	Syt1
