rom GENESYM to affyhg
LXR	C19orf46
STAT3	OSBPL5
HNF4	DDX18
E2A	RAB14
LTF	HOXD3
LBP-1	OTOS
ATF	ELL2
E2A	RAB15
STAT3	OSBPL6
NURR1	LOC283143
Nrf-1	LOC387723
NURR1	DYNC1H1
STAT3	NELF
E2A	RAB19
ATF	LEKR1
HNF4	ATP6V1B1
NF-Y	TRNP1
NURR1	RPL7L1
YY1	PTPLB
STAT3	LOC100287216
PU.1	PTCRA
GABP	PTAR1
CTCF	GPX8
PXR(PXR:RXR)	LOC285768
CTCF	DGCR14
Nrf-1	C16orf53
HMGIY	TPI1
alpha-CP1	ZNF687
HMGIY	OTP
MAFA	TMED9
HSF2	RASGRP3
Bach2	NFATC2
USF	C12orf32
TEF-1	RWDD1
HNF4	MIR3155
E2A	HEATR8
IRF8	MIR4264
COUP	LOC647323
NURR1	NSD1
PUR1	IREB2
E2A	RAB1B
TEF-1	RWDD3
AP-2rep	MAP7D3
TEF-1	CSHL1
TEF-1	RWDD4
NURR1	PAFAH2
TEF-1	EFHC1
TCF-4	C8orf4
YY1	TCAP
ETS2	POU2AF1
YY1	PHKB
GABP-alpha	ZBTB43
STAT6	CLUL1
LBP-1	CLEC12A
STAT4	OR9I1
LBP-1	ARHGAP4
LEF1	DPH1
LBP-1	ARHGAP5
STAT4	ARL6IP5
LBP-1	ARHGAP6
Ebox	GADD45A
LBP-1	LIMCH1
STAT5A	CTXN2
HNF4	PCGF1
HNF4	PCGF2
CREB	HOXC10
HMGIY	PUS3
LEF1	DPH5
STAT6	SNX15
CREB	NCAPH
TEF-1	PAPPA2
HNF4	PCGF5
Ebox	GADD45G
EBF	PDGFRB
YY1	CYP4F8
GR	POU4F1
HNF4	PCGF6
OTX	HIST1H4C
YY1	LPL
STAT6	SNX19
SF1	TUBB2B
OTX	CNTNAP4
YY1	LPO
PUR1	ACOT7
YY1	LPP
YY1	CRNKL1
Oct-1	MGC12916
TEF	PGF
AP-2rep	LOC100188947
HEB	C14orf43
Myc	RDH5
GR	CD8A
HNF4	NF1
Nrf-1	AIP
LEF1	SERPINA7
STAT4	LAT
PU.1	LAT
MIF-1	UPK2
ETS2	DRD1
c-Myc:Max	DIRC2
STAT6	FLJ35024
TEF-1	UBE2E1
ETS2	DRD2
MAFA	FAM138C
TEF-1	UBE2E2
PUR1	HNF1A
NURR1	ISL1
FXR	SEC61A1
TEF-1	UBE2E3
STAT4	KCNC2
SOX10	LPIN1
SOX4	IL13RA1
STAT3	FAM166A
SOX10	LPIN2
LBP-1	KCTD10
YY1	C6orf163
YY1	IQCC
PU.1	COMMD3
STAT3	FAM166B
USF	SLC7A11
GR	TMIGD2
LBP-1	KCTD11
E2A	MIR3177
LBP-1	KCTD12
TEF-1	SDAD1
FXR	KHDRBS2
LBP-1	KCTD13
SOX10	LOC100129269
FXR	KHDRBS3
HNF4	PISD
NeuroD	PUS7L
HNF4alpha	BCL2L14
LBP-1	KCTD14
c-Rel	PPP1R14C
MAFA	LOC283440
YY1	C6orf168
RFX1	DKFZP434I0714
PPARgamma:RXRalpha	SLC25A25
OTX	RAPGEF2
YY1	RPRD1A
LBP-1	NFKBIZ
AP-2rep	MIR301B
SOX10	LOC729991-MEF2B
PU.1	ADPRHL1
NeuroD	GRM2
YY1	IQCJ
SOX4	LCNL1
YY1	IQCK
LBP-1	KCTD18
YY1	LOC285796
NeuroD	GRM5
MIF-1	HAT1
TGIF2	C6orf129
PUR1	MMP25
NeuroD	GRM6
HNF4	LOC100288797
STAT3	FIBP
NFAT2	C3orf63
NeuroD	GRM8
HNF4	MMAA
NFAT2	C3orf64
HNF4	MMAB
HSF2	HAUS8
NF-Y	ACOT8
TEF-1	COL1A1
NeuroD	BTF3P11
FXR	C20orf173
TEF-1	COL1A2
ETS2	C11orf41
ETS2	C11orf42
Nrf-1	MORN5
LTF	ENO1
FXR	LIM2
SOX10	GRWD1
YY1	GPHB5
ETS2	C11orf45
NR2F1	MBD2
HNF4	VWA3A
MAFA	RPL36AL
YY1	FXYD2
ETS2	C11orf46
HNF3A	DEFB104A
HNF3A	DEFB104B
HNF4	VWA3B
RSRFC4	RASGRP3
ETS2	C11orf48
NeuroD	PCDH1
LEF1	LOC641518
ETS2	CARM1
ETS2	C11orf49
NeuroD	CREG1
MAFA	TMEM30A
TEF-1	MIR487A
MAFA	TMEM30B
YY1	FXYD6
HMGIY	ARHGEF17
HMGIY	RAB33B
E2A	ADAMTS13
Nrf-1	NTPCR
YY1	FXYD7
TEF-1	POLR2C
TEF-1	MIR487B
LRF	ACTR3C
MAFA	TMEM30C
E2A	ADAMTS15
TEF-1	POLR2D
HMGIY	VSNL1
NF-Y	NAPA
dlx3	SLITRK1
STAT5A	C10orf26
YY1	RRP9
STAT5B(homodimer)	C19orf66
HSF2	GP2
NeuroD	TNP2
STAT6	VAC14
NeuroD	PCDH7
E2A	ADAMTS18
NeuroD	SESTD1
CTCF	GOSR1
SOX10	BIVM
NeuroD	PCDH9
TEF-1	POLR2H
ETS2	NPHP1
PXR	PMM1
TEF-1	POLR2I
Myc	FBXL2
HNF4	ACLY
STAT4	TARBP2
TEF-1	POLR2K
ETS2	NPHP4
TEF-1	POLR2L
SOX4	FAP
AP-1	MCC
TEF-1	LOC646999
ETS2	CMBL
SOX10	LIG1
PU.1	TBX2
HNF4	AVPR1B
PU.1	TBX3
COUP	GFPT1
NURR1	KLHL12
RSRFC4	THSD4
NFAT2	TRAF3IP2
AP-2rep	MIR10B
NURR1	KLHL14
USF	SEMA7A
SOX10	LIG4
NF-kappaB(p50)	MTMR14
ETS2	KIAA1539
GABP-alpha	GGA1
Lyf-1	ZNF444
TCF-4	CCDC88A
FXR	SLURP1
NeuroD	SPRR2D
YY1	DIDO1
TR4	LOC100128811
NF-Y	FAM13A
E2A	PLAT
NURR1	KLHL18
HNF4	DDX23
E2A	PLAU
NURR1	CNR2
Nrf-1	PCBP1
STAT6	ACER1
COUP	DYX1C1
USF1	PRPF39
Nrf-1	PCBP2
Oct-1	KCND3
STAT5A	SNRPB2
HNF4	DDX25
STAT6	ACER2
PU.1	NPR2
NFAT2	DCLK1
SOX10	CDC73
SMAD	FAM69A
POU2F3	TOP1
PUR1	KRT13
Nrf-1	POLE4
ETS2	ODC1
SMAD	FAM69C
PUR1	KRT14
E2A	RAB25
TEF-1	DDX1
PXR(PXR:RXR)	CDK5R2
TP53	BAX
PUR1	KRT15
TEF-1	TLX1NB
NeuroD	HSFX1
PUR1	KRT16
NeuroD	HSFX2
IRF8	DFNB59
PUR1	KRT17
NURR1	DYNC1I1
HEB	HGD
TEF-1	DDX4
TEF-1	DDX5
NURR1	DYNC1I2
NURR1	DSTN
TEF-1	DDX6
PUR1	GALNT14
HNF4	PCYT1A
HNF4	ATP6V1C2
LRF	SLC5A6
PXR(PXR:RXR)	GXYLT1
PUR1	MRVI1
STAT6	C10orf26
NF-kappaB(p50)	PTP4A2
Lyf-1	SLC25A29
PPARdirectrepeat1	SEC24C
STAT6	C10orf27
LBP-1	WRNIP1
ERR2(ESRRB)	RTKN
TCF-4	GNN
HNF4	MIR3167
HNF4	LMOD1
FXR	KRT71
GLI1	PARK2
NeuroD	LOC386597
TEF-1	EFHD1
TEF-1	EFHD2
ETS2	WSB1
FXR	KRT74
HNF4	PKMYT1
FXR	KRT75
STAT6	RTN4RL2
MAFA	CSMD3
SOX10	MAPK11
FXR	KRT76
LRF	GABRA3
SOX10	MAPK12
SF1	SH3GL2
FXR	KRT78
FXR	CUZD1
NeuroD	CDC42EP3
STAT6	PDE8B
FXR	TEX2
NeuroD	CDC42EP4
TCF-4	CHST6
LM4_M2	FIS1
NeuroD	CDC42EP5
HMGIY	GAS2
LBP-1	SLC32A1
RP58	TMEM59L
MAFA	CCDC28B
AP-2rep	BIN3
SMAD	FXYD3
LBP-1	FSD1
LBP-1	NDUFA4
NF-Y	RABL3
HMGIY	GAS6
NFAT2	MIR1915
PU.1	LBH
TEF-1	KRT33A
STAT6	SNX27
TEF-1	KRT33B
TCF-4	MARCH10
NFAT2	DCUN1D3
LBP-1	NDUFA9
HEB	C8orf73
TEF-1	POLA1
ETS2	MIR548A1
MAFA	SELPLG
TEF-1	POLA2
STAT3	SLC12A2
LBP-1	TTI1
LEF1	SERPINB2
FXR	SOAT2
Tel-2	SFRS18
STAT3	SLC12A5
PU.1	LBP
PUR1	APOC1P1
TEF-1	PNMT
NURR1	NRN1L
SOX10	LOC100507217
STAT4	FAM138D
AP-1	MEGF6
STAT4	LBR
MAFA	THEM5
SMAD	PCYT2
FLI1	PRMT1
EBF	PTGER4
GR	LOH3CR2A
YY1	SPON2
E2A	MIR3183
NeuroD	XYLT1
POU6F1	SNORD100
HMGIY	OSCP1
NeuroD	XYLT2
YY1	STAT5A
YY1	STAT5B
NURR1	ISM2
USF	LOC646862
E2A	MIR3186
LMAF	SNORD10
STAT3	FICD
LBP-1	KCTD21
NeuroD	HNRNPH1
Meis1	ENAM
Nrf-1	FNBP4
NeuroD	HNRNPH3
TEF-1	ADAMTS10
FXR	CYP1A1
PPARgamma:RXRalpha	SLC25A35
PU.1	LFNG
GABP	CTTNBP2NL
PUR1	CHRNA3
COUP	PICALM
AP-2rep	MIR302A
LM4_M2	KPNA1
TEF-1	ADAMTS12
PUR1	CHRNA4
LM4_M2	KPNA2
GR	GPR137C
HSF1	MIR148A
PUR1	AGAP11
TEF-1	HECW1
AP-2rep	MIR302B
SRF	NISCH
TEF-1	ADAMTS13
SOX10	RSPH6A
PUR1	CHRNA5
LM4_M2	KPNA3
STAT6	SMNDC1
NF-kappaB	SERTAD4
TEF-1	HECW2
AP-2rep	MIR302C
TEF-1	ADAMTS14
HNF4	NGB
TEF-1	ADAMTS15
SOX9	MIR2110
AP-2rep	MIR302D
Bach1	APOBEC1
POU5F1	NRCAM
TEF-1	HSP90AB4P
RAR	CRABP2
NeuroD	TPST1
TEF-1	ADAMTS18
NURR1	FAM49A
PU.1	BTBD10
ETS2	CMC1
SOX10	PRKG1
TEF-1	ADAMTS19
HNF4	NGF
MEF2A	PLXNC1
GR	LEF1
MEF-2	RGS3
NF-Y	HMGN2
NeuroD	MIR103-2
TEF-1	OR1D4
GR	REXO2
HEB	TM7SF2
SOX4	RIMS1
NF-Y	HMGN3
NURR1	STAP2
TEF-1	OR1D5
AP-4	RGS11
LBP-1	SCN3B
NeuroD	KISS1
ETS2	C11orf51
PUR1	ESRRA
NURR1	ADAMDEC1
FXR	PRPF6
ETS2	C11orf52
MAFA	CAP1
PU.1	NUP153
FXR	C20orf186
PU.1	LOC646862
PU.1	BTBD17
SOX10	NT5C3L
Lyf-1	MYO9A
LBP-1	DYNLL1
ETS2	C11orf53
LTF	SYNPO
MAFA	CAP2
HNF4	MIR196A1
LM4_M2	CMAS
LBP-1	NR2C1
PU.1	BTBD18
Lyf-1	SLC19A3
PU.1	NUP155
NURR1	CA3
NURR1	CA4
HNF4	MIR196A2
STAT6	PLAC9
CAR	CHCHD1
LBP-1	NR2C2
IRF8	ZG16
AP-4	RGS17
ETS2	C11orf57
NURR1	CA6
AP-4	RGS19
NURR1	CA7
RELA	IL16
ETS2	C11orf58
NURR1	CA8
SZF1-1	FAM171A2
NeuroD	MOSPD1
TEF-1	POLR3C
HMGIY	MFN1
HNF4	FAM76A
HMGIY	RNPC3
HMGIY	MFN2
Myc	GRK1
HNF4	FAM76B
USF1	C6orf114
LBP-1	ALAS1
TEF-1	POLR3F
FOXA1	PTPRG
STAT5A(homotetramer)	HAT1
COUP	PDGFRL
NFAT2	C11orf57
NeuroD	MRGPRX2
Oct-1	BAI2
TEF-1	POLR3G
E2A	IHH
SOX4	ZIC1
TEF-1	POLR3H
SOX10	RASIP1
NFAT2	C11orf58
Myc	GRK4
NURR1	LIAS
GR	RNASE13
ATF4	TLE3
RFX1	PRKAA1
SOX4	ZIC4
TEF-1	POLR3K
ETS2	PIF1
LEF1	SOCS4
AP-2rep	FLJ44606
LTF	VGLL3
TCF-4	IL1F7
Myc	USP2
ETS2	DAPK1
STAT5A	MIR21
SOX10	ACSBG1
Myc	USP3
TEF-1	RXRA
ETS2	DAPK3
AREB6	TGFBR2
TEF-1	RXRB
HNF4	KIAA2018
MAFA	CAPG
NURR1	BHMT2
YY1	SEC11A
NeuroD	TUBGCP4
STAT5A	MIR25
HMGIY	FAM5B
AP-2rep	HNRNPA3P1
NeuroD	TUBGCP6
YY1	SEC11C
STAT4	KRTAP16-1
E2A	CSNK1D
NeuroD	CHTF18
RAR	PRDM1
HMGIY	FAM5C
ETS2	KIAA1549
TEF-1	RXRG
YY1	PTPN3
AP-4	TIFA
NeuroD	TNIP1
NURR1	KLHL26
TEF-1	ENDOG
NF-Y	ESRRB
PUR1	CH25H
NF-Y	ERMP1
NeuroD	TNIP3
YY1	PTPN6
HNF4	NEURL
NURR1	KLHL29
YY1	PTPN7
FXR	SFN
SOX10	TMEM185B
NF-Y	XAB2
NeuroD	UPK3A
HNF4	LOC283875
ETS2	MSRA
FXR	LOC645212
E2A	KIF5A
TEF-1	SGPL1
Meis2	WWC1
NeuroD	UPK3B
E2A	RAB34
NURR1	CAT
USF1	LONP1
NeuroD	OR3A1
E2A	RAB35
HEB	KISS1
NeuroD	OR3A2
NeuroD	TBL1X
AP-2rep	KRTAP23-1
LM4_M2	UBXN4
NeuroD	OR3A4
SOX10	PKD2L1
Ebox	ADAM9
ETS2	LOC348751
Nrf-1	C16orf70
PUR1	SLX1A
TEF-1	ENDOU
FXR	GRIP1
RelB:p52(NF-kappaB)	FAS-AS1
PUR1	SLX1B
LM4_M2	UBXN8
HMGIY	RIPK2
Nrf-1	C16orf72
STAT6	C10orf35
HMGIY	RIPK4
ATF4	WNT10A
PARP	MIR1224
FXR	OSBPL10
HNF4	FCF1
Nrf-1	C16orf75
HNF4	ADSSL1
TEF-1	CUL4B
Myc	BRS3
AP-1	MYL4
HNF4	MIR3175
NF-Y	STAG1
HNF4	MIR3176
NF-Y	STAG2
NF-Y	NEUROG1
LRF	ADPGK
NF-Y	NEUROG2
EAR2	PITX1
FXR	KRT81
NF-Y	NEUROG3
LBP-1	NUDT4P1
FXR	KRT82
GLI3	NUP35
FXR	KRT83
Nrf-1	TSEN2
Myc	LOC147727
TEF-1	MICALL2
STAT4	CCDC28A
LM4_M2	C14orf178
FXR	LOC121952
STAT6	PDE9A
LEF1	HOTAIR
Ets	MPG
LBP-1	ANKRD13A
TEF-1	RASL10A
Lyf-1	ADCK4
LBP-1	ANKRD13B
deltaEF1	SCRIB
TEF-1	RASL10B
MAFA	ALOXE3
LBP-1	ANKRD13D
LBP-1	ZFP2
K-2b	LOC254312
LBP-1	NDUFB2
STAT6	SNX33
NURR1	DKFZp686K1684
POU2F3	HOXA7
SOX10	KNTC1
LBP-1	NDUFB6
LBP-1	NDUFB7
NeuroD	TP53I13
ERR2(ESRRB)	ESRRA
LBP-1	EIF4E3
LBP-1	NDUFB8
LBP-1	NDUFB9
PU.1	LCK
LEF1	SERPINC1
alpha-CP1	HIST1H2AA
NURR1	GREB1L
NeuroD	B9D1
AP-4	EPS8L3
LBP-1	HSP90B1
ETS2	IGFBP2
LBP-1	MIR1244-1
SMAD	SNORD127
HEB	C14orf64
ETS2	IGFBP3
LBP-1	MIR1244-2
NeuroD	MYADM
ETS2	IGFBP4
LBP-1	MIR1244-3
HNF4	SLC7A1
Elf-1	FBXW7
SOX10	TMCC2
ETS2	IGFBP6
PXR	GLB1
YY1	OR5B17
HNF4	SLC7A4
Elk-1	UBL5
LM4_M2	CSRNP2
TEF-1	UBE2G2
HNF4	SLC7A5
Octamer	ARHGAP4
LBP-1	ENC1
STAT4	KCNE1
HNF4	SLC7A6
HMGIY	FAM71A
NURR1	MNDA
SRY	SERINC3
HNF4	SLC7A7
STAT3	FAM168A
SMAD	ARHGEF3
E2A	MIR3196
HNF4	SLC7A8
HMGIY	FAM71C
HNF4	SLC7A9
Myc	NIT1
TEF-1	SMUG1
SMAD	PTPN5
NURR1	SASH1
COUP	MIR140
TEF-1	ADAMTS20
SOX10	GIPR
NURR1	SASH3
TEF-1	LOC151534
PUR1	CHRNB4
USF1	GOLGA5
MAFA	SAG
YY1	RBPMS
TEF-1	GRIN2B
Nrf-1	CFLP1
GR	KIAA0802
TEF-1	GRIN2C
AP-2rep	ZSCAN20
TEF-1	GRIN2D
NURR1	ALDH4A1
NURR1	MOBKL1B
TEF-1	OR1E1
E2A	TPSAB1
TEF-1	OR1E2
SOX10	TESC
AREB6	ASCL3
STAT6	LMO2
TAL1	ABI3BP
AP-1	SLC35C2
LBP-1	SCN4A
STAT6	LMO3
TGIF1	TES
PPARG	NKX2-2
LBP-1	SCN4B
STAT6	LMO4
PR	INADL
ETS2	EFNA1
Oct-1	OPA3
ETS2	EFNA2
TCF-4	ATP2A3
NFAT2	IQCB1
IRF8	C14orf23
YY1	CHTF8
ETS2	C11orf63
FXR	C20orf197
ETS2	EFNA5
TEF-1	PLCZ1
ETS2	C11orf66
HNF4	VWA5A
RELA	IL25
ETS2	C11orf67
TAL1	AFF3
NeuroD	ICA1
ETS2	C11orf68
HMGIY	SLC35A4
HMGIY	SCHIP1
LBP-1	TCL1A
LBP-1	TCL1B
PPAR	PAN2
AP-1	HMGCR
HEB	MYADM
IPF1	RPLP0P2
TEF-1	PDZD2
PPAR	STK11
COUP	MBD2
PU.1	NEAT1
ICSBP	EDN1
NeuroD	ZNF354B
TEF-1	INO80
GR	PXN
NeuroD	ZNF354C
AP-1	SLC20A1
TEF-1	PDZD4
ATF	S1PR2
MAFA	SPRED1
LBP-1	CYB5R2
GR	TTF2
YY1	CLK2
LBP-1	CYB5R3
YY1	CLK3
STAT3	MIR485
TEF-1	LOC727677
NeuroD	ARRDC2
NF-Y	NARF
TEF-1	PDZD7
YY1	CLK4
STAT3	MIR486
TEF-1	PDZD8
COUP-TF	RPL34
LM4_M2	FASTKD1
NeuroD	ARRDC3
GR	LOC100506012
TEF-1	PDZD9
NeuroD	ARRDC4
FXR	TRMT61A
SPI-B	RDH10
GLI3	PALLD
PU.1	BYSL
c-Rel	SMOC1
E2A	DBNL
ETS2	DAPL1
CTCF	NAE1
LBP-1	ZNF311
NURR1	KLHL30
PUR1	DPEP1
STAT3	LOC100130855
TEF-1	NDUFB11
TEF-1	TIE1
NURR1	KLHL31
SOX10	DNAJA1P5
NURR1	KLHL33
Lyf-1	ZNF462
NeuroD	LOC646471
NURR1	KLHL34
HMGIY	EBAG9
AP-2rep	ISLR
NURR1	KLHL35
NF-Y	IGSF9
PUR1	GRIK3
SOX4	TUSC5
NURR1	KLHL36
PUR1	GRIK5
LBP-1	ZNF319
E2A	PITHD1
NeuroD	C22orf24
HNF4	DDX42
ATF	HS3ST2
PR	RNY5
AP-2rep	SPCS3
NURR1	KLHL38
NeuroD	C22orf25
GR	SOD1
NURR1	UBAP1
SOX4	VNN2
NeuroD	C22orf26
E2A	KLK5
USF	MIR193B
NeuroD	C22orf27
GABP	TTI1
E2A	KLK6
STAT5A	SNRPD2
E2A	RAB41
NUR77	RHOQ
NeuroD	C22orf28
HNF4	ATP4A
Nrf-1	POLG2
E2A	KLK8
HNF4	ATP4B
ETS2	PIGA
AP-2rep	LOC100129196
E2A	KLK9
ETS2	PIGB
TEF-1	SEC22B
AP-1	MET
LBP-1	LOC654433
HNF4	DDX49
RELA	S1PR2
TEF-1	SEC22C
NeuroD	TONSL
NUR77	RHOV
NURR1	MRP63
LTF	RICTOR
YY1	GALNTL1
Lyf-1	AICDA
MAFA	BEND6
TEF-1	PNO1
SOX9	C1QTNF9
SRF	ACTB
ETS2	PIGF
YY1	GALNTL2
TEF-1	SDC1
LBP-1	CYB5RL
ETS2	PIGG
TEF-1	SDC2
ETS2	LOC348761
HNF4	ATP6V1E1
PARP	MIR1231
TEF-1	SDC3
TEF-1	SDC4
HNF4	ATP6V1E2
OCT-x	INTS6
YY1	GALNTL6
CREB	ADAM9
ETS2	TAOK1
HNF4	MIR3182
NFAT2	TGFB2
E12	HSPG2
GR	TRPM2
HNF4	MIR3183
ETS2	PIGL
ETS2	TAOK2
MAFA	CELA1
HNF4	MIR3184
ETS2	TAOK3
ETS2	PIGN
HNF4	MIR3185
MIF-1	RAGE
Arnt	NPY5R
STAT4	SPSB1
HNF4	MIR3186
Nrf-1	C16orf87
E2A	RAB4A
ETS2	PIGO
NUR77	MIR219-1
HNF4	MIR3188
ETS2	PIGQ
STAT3	GNG4
SOX10	MIPEP
ETS2	PIGR
LBP-1	TEX264
ETS2	PIGS
TEF-1	HHLA1
ETS2	PIGU
NURR1	TIMP2
TEF-1	HHLA3
LBP-1	NUAK2
ETS2	PIGV
ETS2	PIGW
SOX10	CNIH2
TEF-1	PNOC
TCF-4	PCDHGB2
Nrf-1	HOXC13
Myc	MIR101-2
ETS2	PIGX
TEF-1	RASL11A
SOX10	CNIH4
ETS2	PIGY
Bach1	CXorf26
YY1	LOC100131199
FXR	XPNPEP2
TEF-1	RASL11B
ETS2	NHLH1
FXR	XPNPEP3
TCF-4	PCDHGB6
POU2F3	HOXB6
PU.1	NPTN
PU.1	MIR155HG
MAFA	CTF1
c-Rel	TRAPPC3
ETS2	KRT222
NFAT2	MIR30C1
ETS2	CLDN2
LM4_M2	ZRANB3
NeuroD	SYNE1
Nrf-1	PDXDC2P
NeuroD	SYNE2
SOX10	OAF
ATF2	TAF10
ETS2	CLDN4
LEF1	SERPIND1
ETS2	CLDN5
PUR1	PAK1
RFX1	PER2
alpha-CP1	HIST1H2BA
ETS2	CLDN7
HMGIY	DEC1
YY1	OR5B21
ATF2:c-Jun	TMF1
E2A	CPA1
YY1	LIMK2
ETS2	CLDN9
alpha-CP1	HIST1H2BD
TEF-1	DMTF1
MAFA	C17orf46
SOX10	RND1
LRF	FAM59B
FXR	STARD13
YY1	APITD1-CORT
E2A	CPA5
AP-4	GOLM1
HMGIY	MOXD2P
HNF-4	LY6G5B
E2A	HIST2H3A
HNF4	ACO2
ETS2	DRG1
AML	MIR155
HSF2	SLC14A1
STAT4	VAMP1
E2A	HIST2H3C
PUR1	HNF4A
YY1	C6orf191
FXR	SLED1
STAT4	KCNF1
YY1	OCLM
STAT4	VAMP3
MAF	DUSP14
MAFA	LOC553103
YY1	OCLN
PXR(PXR:RXR)	DHRS9
STAT4	VAMP4
USF	TADA1
c-Rel	GNG4
YY1	C6orf195
HMGIY	FBXW7
ETS2	CYP4F2
GR	TARS
Tel-2	ARF4
ETS2	CYP4F3
E2A	LOC100133315
GR	OAZ3
LBP-1	NPAS2
NeuroD	MIR329-1
LBP-1	NPAS3
STAT6	PHF8
NeuroD	MIR329-2
OTX	PDZRN4
LBP-1	NPAS4
CACCC-bindingfactor	HBB
STAT4	PSMD10
ATF2	DUSP1
TEF-1	GRIN3B
HNF4	OR6A2
TEF-1	MTCP1NB
Bach1	LTB4R2
FXR	JAKMIP1
NeuroD	LOC100287814
AP-2rep	ISM1
STAT6	DIAPH3
HMGIY	OPTC
NURR1	MOBKL2C
TEF-1	OR1F1
AP-2rep	ISM2
ETS2	CRNKL1
ATF3	LGR5
LEF1	FLJ11235
TCF-4	ATP2B1
HNF4	LOC100498859
FXR	TIMM9
ETS2	EFNB1
E2A	PLD5
NF-kappaB	CDC37
ETS2	EFNB2
ETS2	C11orf71
STAT6	MRRF
ETS2	EFNB3
STAT6	RPL23AP53
HMGIY	ARHGEF40
ETS2	C11orf73
YY1	SPOPL
YY1	DNAJC25-GNG10
E12	FBLIM1
NeuroD	FCRL2
YY1	INSM1
HMGIY	SLC35B1
ETS2	C11orf75
NeuroD	FMN1
YY1	INSM2
HMGIY	OPTN
AP-1	PRKACB
NeuroD	FMN2
NeuroD	FCRL5
HMGIY	SLC35B3
Tel-2	FAM49B
AP-2rep	ADNP
YY1	EVPL
PU.1	UQCRH
NeuroD	FCRL6
FXR	BCAN
NFAT2	C11orf71
MAFA	PPIG
alpha-CP1	SLC13A4
SOX10	DNAJB12
STAT5A	DLX1
ETS2	MIR320C1
LTF	TIAF1
ETS2	MIR320C2
RORA_2	ETV4
ETS2	SEZ6
NFAT2	C11orf75
MAFA	LOH3CR2A
HNF4	FAM78B
NeuroD	TNS1
HNF4	CLCN2
E47	GPM6B
AP-1	SRPK2
FXR	CTBP2
SOX10	RPP30
STAT3	MIR493
NeuroD	TNS3
STAT5A	DLX5
STAT5A	C10orf58
TEF-1	TRAPPC6A
